case_id,case_type,miss_stage,alarm_classification,candidate_key,sequence_id,subject,category,fall_type,source_relative_path,clip_file,clip_start_ms,clip_end_ms,focus_timestamp_ms,fall_onset_ms,time_of_recording,description
MISS_001,miss,base_no_candidate,,,gmdcsa24_ae112e7e05ca62ed,Subject 1,Fall,BW,Subject 1/Fall/14.mp4,MISS_001_subject_1_14_base_no_candidate.mp4,0.0,3300.0,300.0,300.0,Day (Light On),Standing position to falling. Backward fall. Full body (both ankles) is not visible
MISS_002,miss,verifier_rejected_not_rescued,,,gmdcsa24_93a5b6e7410bf663,Subject 1,Fall,FW,Subject 1/Fall/10.mp4,MISS_002_subject_1_10_verifier_rejected_not_rescued.mp4,0.0,3700.0,700.0,700.0,Day (Light On),Standing position to falling. Forward Fall. Full body (right eye) not visible
MISS_003,miss,verifier_rejected_not_rescued,,,gmdcsa24_00f5e6f80632f9ba,Subject 1,Fall,SW,Subject 1/Fall/06.mp4,MISS_003_subject_1_06_verifier_rejected_not_rescued.mp4,200.0,5200.0,2200.0,2200.0,Day (Light On),Walking to falling. Right side fall
MISS_004,miss,verifier_rejected_not_rescued,,,gmdcsa24_c73bb07da0e58e21,Subject 2,Fall,FW,Subject 2/Fall/03.mp4,MISS_004_subject_2_03_verifier_rejected_not_rescued.mp4,0.0,3000.0,0.0,0.0,Day,Forward fall on the bed
MISS_005,miss,verifier_rejected_not_rescued,,,gmdcsa24_8302abcc99e491cf,Subject 2,Fall,BW,Subject 2/Fall/14.mp4,MISS_005_subject_2_14_verifier_rejected_not_rescued.mp4,1400.0,6400.0,3400.0,3400.0,Night,Falling backward on the bed
MISS_006,miss,base_no_candidate,,,gmdcsa24_ed166a2dd711c893,Subject 2,Fall,UNSPECIFIED,Subject 2/Fall/11.mp4,MISS_006_subject_2_11_base_no_candidate.mp4,3900.0,8900.0,5900.0,5900.0,Night,Falling from bed to ground
MISS_007,miss,verifier_rejected_not_rescued,,,gmdcsa24_92b7789b30b1cd13,Subject 2,Fall,FW,Subject 2/Fall/19.mp4,MISS_007_subject_2_19_verifier_rejected_not_rescued.mp4,6200.0,11200.0,8200.0,8200.0,Day,Eating in standing position then falling forward
MISS_008,miss,verifier_rejected_not_rescued,,,gmdcsa24_39c2bcd61f24ebf3,Subject 3,Fall,SW,Subject 3/Fall/08.mp4,MISS_008_subject_3_08_verifier_rejected_not_rescued.mp4,0.0,3000.0,0.0,0.0,Day,Falling on the right side onto the floor from a standing position
MISS_009,miss,verifier_rejected_not_rescued,,,gmdcsa24_c76b7b74f56b344c,Subject 3,Fall,BW,Subject 3/Fall/06.mp4,MISS_009_subject_3_06_verifier_rejected_not_rescued.mp4,0.0,3000.0,0.0,0.0,Day,Falling (backward) on the floor from the sitting position
MISS_010,miss,verifier_rejected_not_rescued,,,gmdcsa24_295489f450694ee8,Subject 3,Fall,BW,Subject 3/Fall/13.mp4,MISS_010_subject_3_13_verifier_rejected_not_rescued.mp4,0.0,4049.0,1400.0,1400.0,Day,Writing something in a notebook while sitting position on the floor; then falling backward
MISS_011,miss,verifier_rejected_not_rescued,,,gmdcsa24_4b94ca9f0c8f3c80,Subject 3,Fall,BW,Subject 3/Fall/15.mp4,MISS_011_subject_3_15_verifier_rejected_not_rescued.mp4,0.0,4900.0,1900.0,1900.0,Night,Trying to drink water from the water bottle and then falling on the floor
MISS_012,miss,verifier_rejected_not_rescued,,,gmdcsa24_6d9539cbb137c9de,Subject 3,Fall,FW,Subject 3/Fall/02.mp4,MISS_012_subject_3_02_verifier_rejected_not_rescued.mp4,600.0,5600.0,2600.0,2600.0,Day,Falling on the bed (forward)
MISS_013,miss,verifier_rejected_not_rescued,,,gmdcsa24_a3149bb1c897d47f,Subject 3,Fall,BW,Subject 3/Fall/09.mp4,MISS_013_subject_3_09_verifier_rejected_not_rescued.mp4,1300.0,6225.0,3300.0,3300.0,Day,Reading the book while sitting on the ground; then falling backward
MISS_014,miss,base_no_candidate,,,gmdcsa24_7c57683db153b4a0,Subject 4,Fall,SW,Subject 4/Fall/02.mp4,MISS_014_subject_4_02_base_no_candidate.mp4,0.0,2977.367,1500.0,1500.0,Day (Lights On),Falling (LS) from the bed to the floor
